4.059218e-06,3.740832e-06,3.932092e-06,6.089824e-06,1.200000e+00,1.200000e+00,6.297304e-09,3.853715e-09,5.163370e-09,5.371152e-05,7.686718e-05,3.074687e-10
3.926966e-06,3.978935e-06,3.790457e-06,6.061200e-06,1.200000e+00,1.200000e+00,5.310664e-09,5.760297e-09,4.301077e-09,5.370942e-05,7.680913e-05,3.072365e-10
3.920831e-06,4.087115e-06,3.842368e-06,5.971114e-06,1.200000e+00,1.200000e+00,5.510694e-09,7.218391e-09,4.862994e-09,5.370075e-05,7.679881e-05,3.071952e-10
3.881559e-06,3.943394e-06,3.906425e-06,6.144715e-06,1.200000e+00,1.200000e+00,4.584853e-09,5.038384e-09,4.761693e-09,5.371632e-05,7.692489e-05,3.076996e-10
4.001845e-06,3.833622e-06,4.084522e-06,5.972164e-06,1.200000e+00,1.200000e+00,6.183494e-09,4.719621e-09,7.079894e-09,5.370044e-05,7.684178e-05,3.073671e-10
3.726415e-06,3.777975e-06,4.109164e-06,6.392346e-06,1.200000e+00,1.200000e+00,3.035694e-09,3.265224e-09,5.257145e-09,5.373622e-05,7.717620e-05,3.087048e-10
3.839254e-06,3.797793e-06,4.037249e-06,6.198875e-06,1.200000e+00,1.200000e+00,4.143125e-09,3.895711e-09,5.582182e-09,5.372089e-05,7.696337e-05,3.078535e-10
3.831275e-06,4.072903e-06,4.060536e-06,6.327102e-06,1.200000e+00,1.200000e+00,3.491748e-09,4.989079e-09,4.897610e-09,5.373000e-05,7.727426e-05,3.090971e-10
3.957860e-06,3.792404e-06,4.087504e-06,6.049637e-06,1.200000e+00,1.200000e+00,5.457399e-09,4.217198e-09,6.707595e-09,5.370760e-05,7.688004e-05,3.075202e-10
3.990320e-06,3.849537e-06,4.047520e-06,6.235556e-06,1.200000e+00,1.200000e+00,4.844903e-09,3.922564e-09,5.284347e-09,5.372302e-05,7.712076e-05,3.084830e-10
4.090110e-06,3.816142e-06,4.039355e-06,6.315861e-06,1.200000e+00,1.200000e+00,5.184592e-09,3.456402e-09,4.804817e-09,5.372916e-05,7.725097e-05,3.090039e-10
3.873196e-06,4.074901e-06,4.030557e-06,6.183901e-06,1.200000e+00,1.200000e+00,4.161490e-09,5.670736e-09,5.294037e-09,5.371836e-05,7.711047e-05,3.084419e-10
3.743942e-06,4.085955e-06,3.952191e-06,6.388984e-06,1.200000e+00,1.200000e+00,3.033330e-09,4.968363e-09,4.088315e-09,5.373548e-05,7.725592e-05,3.090237e-10
3.812186e-06,4.106673e-06,3.826063e-06,5.924373e-06,1.200000e+00,1.200000e+00,4.919905e-09,7.942256e-09,5.029799e-09,5.369704e-05,7.669060e-05,3.067624e-10
4.086303e-06,3.942952e-06,3.763448e-06,5.899695e-06,1.200000e+00,1.200000e+00,7.798050e-09,6.150209e-09,4.602688e-09,5.369459e-05,7.669159e-05,3.067663e-10
4.019411e-06,3.782384e-06,3.787813e-06,6.401968e-06,1.200000e+00,1.200000e+00,4.618527e-09,3.290147e-09,3.315570e-09,5.373720e-05,7.717165e-05,3.086866e-10
4.066528e-06,3.770673e-06,3.901246e-06,6.117009e-06,1.200000e+00,1.200000e+00,6.209285e-09,3.941958e-09,4.807066e-09,5.371380e-05,7.690170e-05,3.076068e-10
3.785090e-06,3.953864e-06,4.045430e-06,6.067615e-06,1.200000e+00,1.200000e+00,4.159563e-09,5.401189e-09,6.239303e-09,5.370946e-05,7.686836e-05,3.074735e-10
4.046612e-06,4.071647e-06,3.826393e-06,6.397277e-06,1.200000e+00,1.200000e+00,4.535343e-09,4.705133e-09,3.295537e-09,5.373561e-05,7.734910e-05,3.093964e-10
3.734570e-06,3.766297e-06,4.036102e-06,6.399949e-06,1.200000e+00,1.200000e+00,3.103435e-09,3.245696e-09,4.772553e-09,5.373716e-05,7.714411e-05,3.085764e-10
3.776708e-06,3.807586e-06,4.053161e-06,6.216482e-06,1.200000e+00,1.200000e+00,3.744085e-09,3.918366e-09,5.658068e-09,5.372241e-05,7.696672e-05,3.078669e-10
4.025990e-06,4.064469e-06,3.888365e-06,5.908514e-06,1.200000e+00,1.200000e+00,6.758297e-09,7.208047e-09,5.385172e-09,5.369445e-05,7.680895e-05,3.072358e-10
3.970481e-06,3.907264e-06,4.091819e-06,6.205759e-06,1.200000e+00,1.200000e+00,4.747969e-09,4.313507e-09,5.720902e-09,5.372022e-05,7.713030e-05,3.085212e-10
3.768497e-06,4.041604e-06,4.006406e-06,6.351866e-06,1.200000e+00,1.200000e+00,3.215580e-09,4.784828e-09,4.543090e-09,5.373251e-05,7.722647e-05,3.089059e-10
